Salchichón Montañes EL POZO, 300g;2,38;396
Salchichón Nobleza EL POZO, 200g;2;333
Salchichón Pimienta MONT PALAU, 150g;1,57;261
Salchichón Tradicional ESPUÐA, 300g;2,69;448
Salchichón Vela IGLESIAS, 400g;3,03;504
Chorizo Ibérico Extra IGLESIAS, en lonchas, sobre 150g;2,26;376
Jamón Ibérico de Bellota MATORRAL, en lonchas, 100g (57,05 euros/kg);5,705;949
Jamón Ibérico de Bellota MATORRAL, pack 100g;7,9;1314
Jamón Ibérico IGLESIAS, pack 100g;6,1;1015
Jamón y Lomo Ibérico IGLESIAS, pack 250g;12,42;2067
Lomo Ibérico de Bellota MATORRAL, pack 125g;7,42;1235
Lomo Ibérico Embuchado IGLESIAS, en lonchas, sobre 100g;4,8;799
Paleta Ibérica de Bellota MATORRAL, pack 125g;6,68;1111
Paleta y Lomo Ibérico de Bellota MATORRAL, pack 125g;7,74;1288
Panceta Ibérica ARROYO, sobre;0,72;120
Salchichón Ibérico IGLESIAS, en lonchas, sobre 150g;2,05;341
Surtido Paleta, Lomo, Salchichón y Chorizo Ibérico IGLESIAS,250g;8,94;1487
Bloc de Foie Gras de Oca DELICASS, pack 80g, 2 unid.;5,15;857
Bloc de Foie Gras de Pato DELICASS, pack 80g, 2 unid.;4,78;795
Bloc Foie Gras de Pato DELICASS, con trozos, pack 80g;5,78;962
Dúo Block Pato MARTIKO, pack 40g, 2 unid.;4,36;725
Foie Gras Entier MARTIKO, tarro 130g;11,83;1968
Foie Gras Micuit DELICASS, 80g;7,35;1223
Manteca CAMPOFRÍO, bolsa 400g;1,24;206
Micuit MARTIKO, Medallón, pack 90g;7,26;1208
Mousse Canard CAPDEVILA, pack 75g;1,45;241
Mousse Canard CAPDEVILA, tarrina 250g;3,4;566
Mousse Canard PERIGOUDIN, pack 100g;2,16;359
Mousse de Canard con Pimienta, 75g;1,45;241
Mousse de hígado de oca CONSUMER, pack 96g;1,01;168
Mousse de Pato a la Naranja CONSUMER, pack 125g;1,92;319
Paté Canard CAPDEVILA, pack 75g;0,98;163
Paté CAPDEVILA, a las finas hierbas, pack 75g;0,98;163
Paté Pimienta CAPDEVILA, pack 75g;0,98;163
Sobrasada EL POZO, tarrina 200g;0,96;160
Surtido de Patés CAPDEVILA, tarro 75g, pack 4 unid.;3,13;521
Tabla de 4 Patés LA CUINA, pack 80g, 4 unid.;2,39;398
Mousse de Hígado de Oca MARTIKO, frasco 110g;1,51;251
Mousse de Hígado de Pato MARTIKO, frasco 110g;1,51;251
Mousse de Oca MARTIKO, tarro 190g;2,93;488
Paté a las Finas Hierbas TARRADELLAS, frasco 125g;0,7;116
Paté Canard de Pato MARTIKO, tarro 190g;1,89;314
Paté de Campaña CASA TARRADELLAS, frasco 125g;0,7;116
Paté de Foie-Gras CASA TARRADELLAS, frasco 125g;0,7;116
Paté de Jamón CASA TARRADELLAS, frasco 125g;0,7;116
Paté de Pato de la Bretaña LA PIARA, Sabores ?nicos, tarro 100g;1,04;173
Paté de Pato MARTIKO, con Pimienta, tarro 110g;1,07;178
Paté de Pimienta Negra CASA TARRADELLAS, frasco 125g;0,7;116
Paté Roquefort CASA TARRADELLAS, frasco 125g;0,7;116
Patés CASA TARRADELLAS, 3 Variedades, pack 125g, 3 unid.;2,21;368
Crema de Foie al Oporto CONSUMER, pack 125g;1,07;178
Crema de Foie Oporto CONSUMER, pack 150g;1,14;190
Paté a la Pimienta Verde CONSUMER, pack 125g;1,07;178
Paté a la Pimienta Verde CONSUMER, pack 150g;1,14;190
Paté a las Finas Hierbas CONSUMER, pack 125g;1,07;178
Paté a las Finas Hierbas CONSUMER, pack 150g;1,14;190
Paté con Tapa CONSUMER, lata 200g;0,44;73
Paté de Canard CONSUMER, pack 125g;1,07;178
Paté de Canard CONSUMER, pack 150g;1,14;190
Paté de Cerdo LA PIARA, lata 83g;0,87;145
Paté de Champiñones CONSUMER, pack 150g;1,14;190
Paté de Hígado de Cerdo APIS, pack 80g, 3 unid.;1,08;180
Paté de Hígado de Cerdo LA PIARA, lata 190g;1,77;295
Paté de Hígado de Cerdo LA PIARA, pack 80g, 3 unid.;1,88;313
Paté de Hígado de Cerdo LA PIARA, 2 unid., pack 118g;1,92;319
Paté LA PIARA, Bajo en Calorías, 50% menos de grasa,  lata 83g;1,05;175
Paté Tapa  APIS, lata 200g;0,73;121
Bloque de Hígado de Oca MARTIKO, lata 130g;7,26;1208
Bloque de Hígado de Pato MARTIKO, lata 130g;6,18;1028
Mousse Canard PERIGOUDIN, pack 100g;2,16;359
Mousse de Ave ZUBIA, lata 130g;0,98;163
Mousse de hígado de oca CONSUMER, pack 96g;1,01;168
Mousse de Pato a la Naranja CONSUMER, pack 125g;1,92;319
Paté de Ave ZUBIA, lata 130g;0,98;163
Paté de Cerdo Campaña ZUBIA, lata 130g;0,89;148
Paté de Foie ZUBIA, lata 130g;0,98;163
Paté de Jamón LA PIARA, lata 85g;1,04;173
Paté de Pollo LA PIARA, lata 85g;1,04;173
Paté Picante LA PIARA, lata 85g;1,04;173
Paté Sobrasada LA PIARA, lata 85g;1,04;173
Mousse de Salmón MARTIKO, 96g;0,89;148
Paté de Anchoa LA PIARA, pack 85g, 2 unid.;2;333
Paté de Atún CASA TARRADELLAS, tarro 125g;0,79;131
Paté de Atún en Aceite LA PIARA, pack 85g, 2 unid.;2;333
Paté de Atún en Escabeche LA PIARA, pack 85g, 2 unid.;2;333
Paté de Salmón LA PIARA, pack 85g, 2 unid.;2;333
Bacón CASA TARRADELLAS, en cintas, sobre 150g;1,52;253
Bacón OSCAR MAYER, sobre 200g;1,55;258
Chorizo Ibérico en Lonchas NAVIDUL, sobre 100g;2,49;414
Chorizo Ibérico IGLESIAS, en lonchas, 90g;2,39;398
Jamón Cocido CASA TARRADELLAS, sobre 150g;1,84;306
Jamón Curado Fino ESPUNA, pack 120g;2,72;453
Jamón de Pato MARTIKO, en lonchas, sobre 50g;2,76;459
Jamón de Pato MARTIKO, en lonchas, 100g;4,48;745
Jamón Ibérico IGLESIAS, en lonchas, 90g;4,45;740
Lomo Ibérico en Lonchas NAVIDUL, sobre 100g;5,51;917
Lomo Ibérico IGLESIAS, en lonchas, 90g;6,12;1018
Lunchable de Jamón Cocido OSCAR MAYER, sobre 110g;1,4;233
Paleta Ibérica IGLESIAS, en lonchas, 90g;3,99;664
Salchichón Ibérico IGLESIAS, en lonchas, 90g;2,39;398
Surtido de Ibéricos Chorizo,Lomo y Salchichón NAVIDUL,pack 150g;5,25;874
Taquitos de Jamón NAVIDUL, 150g;2,51;418
Salchicha ACUEDUCTO, Gran Snackis, sobre 225g.;1,08;180
Salchicha CAMPOFRÍO, Frankfurt, sobre 160g;0,42;70
Salchicha CAMPOFRÍO, Viena, sobre 200g;0,92;153
Salchicha CONSUMER, Frankfurt, sobre 160g;0,31;52
Salchicha OSCAR MAYER, Wiener, sobre 225g;0,94;156
Salchichas ACUEDUCTO, Snackis, sobre 165g;0,63;105
Capricho de Queso y Bacón MORTE, pack 160g;3,51;584
Capricho MORTE, dátiles con bacón, 180g;3,51;584
Salchicha ACUEDUCTO, Snackis con Queso, sobre 165g;0,79;131
Salchicha Bavara con Bacón MORTE, pack 160g;3,16;526
